"","defect_id","defect_description","numActive","numDaysActive","numReopened","LOC","Total.num.days","Developer","Tester","Num.eff.dev.hours","Num.eff.testing.hours","Severity","Priority"
"7","TCGA-D8-A142",7,3,4,2,63,6.19,"Sunil","Donald",17.91,14.58,"Medium","Medium"
"114","BCGA-I2-629A",114,5,1,3,49,2.9,"Aniketh","Philip",10.01,8.441,"Medium","Medium"
"148","BCGA-Q2-666A",148,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"125","BCGA-X2-637A",125,7,15,3,187,21.16,"Sunil","Mathew",60.17,48.645,"High","High"
"138","BCGA-Q2-655A",138,8,15,6,138,20.8,"Haresh","John",61.71,50.272,"High","High"
"77","TCGA-D8-A13Y",77,3,15,1,189,20.62,"Aniketh","Mike",55.83,44.745,"High","High"
"81","TCGA-A2-A0YG",81,6,10,1,129,14.07,"Mohan","Samson",40.71,32.94,"High","High"
"95","TCGA-AN-A0AS",95,6,10,2,122,14.12,"Raghu","Mathew",41.14,33.362,"High","High"
"29","TCGA-A2-A0D1",29,2,4,1,55,5.79,"Vishal","Mathew",16.37,13.238,"Medium","Medium"
"124","BCGA-K2-637A",124,19,29,18,289,42.05,"Sunil","Philip",126.26,103.326,"High","High"
"47","TCGA-A7-A0CD",47,4,4,2,57,6.12,"Suresh","Philip",18.6,15.227,"Medium","Medium"
"158","BCGA-Q2-676A",158,4,7,3,77,10.01,"Aniketh","Samson",29.38,23.92,"Medium","Medium"
"87","TCGA-AO-A12B",87,6,11,8,155,17.02,"Vishal","Mike",48.49,39.509,"High","High"
"73","TCGA-AO-A03O",73,5,1,3,49,2.9,"Aniketh","Philip",10.01,8.441,"Medium","Medium"
"21","TCGA-C8-A131",21,4,5,2,80,7.68,"Akash","Mathew",22.33,18.166,"Medium","Medium"
"140","BCGA-Q2-657A",140,3,15,1,189,20.62,"Aniketh","Mike",55.83,44.745,"High","High"
"159","BCGA-Q2-677A",159,14,17,8,207,25.06,"Raghu","Samson",75.63,61.825,"High","High"
"8","TCGA-A2-A0D0",8,10,14,6,183,20.7,"Suresh","Samson",60.96,49.667,"High","High"
"57","TCGA-A2-A0YC",57,8,13,2,152,18.12,"Ajay","Samson",53.17,43.122,"High","High"
"72","TCGA-E2-A154",72,2,4,0,51,5.52,"Vinay","John",15.72,12.673,"Medium","Medium"
"149","BCGA-Q2-667A",149,3,4,0,33,5.21,"Suresh","Sam",16.17,13.164,"Low","Medium"
"39","TCGA-C8-A12T",39,1,1,0,11,1.37,"Suresh","John",4.3,3.508,"Low","Low"
"37","TCGA-C8-A12P",37,3,3,0,31,4.07,"Prakash","Philip",12.86,10.498,"Low","Medium"
"49","TCGA-A2-A0YI",49,2,2,0,31,2.92,"Vishal","Samson",8.78,7.133,"Low","Low"
"36","TCGA-C8-A12L",36,4,5,1,57,7.03,"Bikas","Mike",21.3,17.354,"Medium","Medium"
"23","TCGA-E2-A150",23,4,3,1,38,4.45,"Rabish","Sam",14.38,11.827,"Medium","Medium"
"86","TCGA-AO-A0JM",86,2,4,0,43,5.36,"Bikas","Mathew",15.56,12.569,"Medium","Medium"
"129","BCGA-O2-637A",129,5,3,1,85,5.44,"Ajay","John",16.13,13.163,"Medium","Medium"
"2","TCGA-A2-A0CM",2,2,2,0,34,2.98,"Prakash","John",8.84,7.172,"Low","Low"
"34","TCGA-A8-A09G",34,1,2,0,95,4.15,"Sunil","Samson",9.25,7.24,"Medium","Low"
"107","BCGA-J2-616A",107,6,8,2,89,11.26,"Prakash","John",33.94,27.653,"Medium","Medium"
"22","TCGA-C8-A134",22,2,2,0,33,2.96,"Shalini","Philip",8.82,7.159,"Low","Low"
"9","TCGA-AO-A0J6",9,12,17,5,233,24.91,"Bikas","Mathew",72.82,59.174,"High","High"
"46","TCGA-BH-A0HK",46,2,1,0,22,1.64,"Sunil","Samson",5.33,4.376,"Low","Low"
"146","BCGA-Q2-664A",146,5,6,3,57,8.56,"Aniketh","Samson",26.52,21.745,"Medium","Medium"
"44","TCGA-AR-A0TR",44,6,9,3,90,12.57,"Vijay","Mike",37.8,30.819,"Medium","High"
"92","TCGA-A8-A09I",92,3,2,1,32,3.18,"Rabish","Mathew",10.18,8.384,"Low","Medium"
"88","TCGA-A8-A06N",88,3,10,2,111,13.75,"Vinay","John",38.49,31.044,"Medium","Medium"
"19","TCGA-BH-A0AV",19,13,8,5,267,15.74,"Sunil","Philip",44.88,36.581,"High","Medium"
"42","TCGA-C8-A135",42,5,7,1,83,9.8,"Anil","Samson",29.17,23.697,"Medium","Medium"
"110","BCGA-G2-625A",110,10,14,2,147,19.22,"Prakash","Donald",57.96,47.147,"High","High"
"26","TCGA-BH-A18R",26,2,3,0,35,4.1,"Shalini","Mike",12.13,9.825,"Low","Medium"
"68","TCGA-AR-A1AW",68,7,10,3,118,14.28,"Haresh","John",42.44,34.548,"High","High"
"94","TCGA-AN-A0AM",94,4,5,0,59,6.88,"Haresh","Samson",20.77,16.867,"Medium","Medium"
"83","TCGA-E2-A10A",83,2,4,0,52,5.54,"Sujay","John",15.74,12.686,"Medium","Medium"
"58","TCGA-AO-A0J9",58,6,4,1,41,5.71,"Anil","Mathew",19.33,15.956,"Medium","Medium"
"53","TCGA-A2-A0T6",53,8,16,3,197,22.51,"Raghu","Mike",64.45,52.14,"High","High"
"43","TCGA-C8-A138",43,8,16,3,201,22.59,"Mohan","Mathew",64.53,52.192,"High","High"
"122","BCGA-G2-637A",122,2,4,0,52,5.54,"Sujay","John",15.74,12.686,"Medium","Medium"
"117","BCGA-V2-632A",117,2,2,0,29,2.88,"Suresh","Sam",8.74,7.107,"Low","Low"
"17","TCGA-AR-A0U4",17,4,6,2,76,8.7,"Bikas","Sam",25.52,20.754,"Medium","Medium"
"98","TCGA-AR-A0TV",98,5,11,3,148,15.88,"Prakash","Sam",44.69,36.128,"High","Medium"
"69","TCGA-BH-A0C1",69,4,9,2,105,12.58,"Raghu","Philip",35.91,29.051,"Medium","Medium"
"112","BCGA-G2-627A",112,11,15,6,177,21.73,"Sunil","Philip",64.92,52.954,"High","High"
"134","BCGA-Q2-651A",134,2,7,3,77,9.91,"Aniketh","Samson",27.76,22.47,"Medium","Medium"
"48","TCGA-BH-A0HP",48,2,3,2,26,4.3,"Bikas","John",13.09,10.734,"Low","Medium"
"109","BCGA-G2-624A",109,7,12,2,132,16.57,"Mohan","Sam",48.69,39.497,"High","High"
"121","BCGA-G2-636A",121,9,18,5,205,25.3,"Raghu","Mike",73.1,59.275,"High","High"
"40","TCGA-C8-A12Z",40,5,2,0,76,3.97,"Akash","Samson",12.11,9.893,"Medium","Medium"
"76","TCGA-AR-A0TY",76,10,11,2,133,15.64,"Vinay","Mathew",47.87,39.045,"High","High"
"131","BCGA-F2-637A",131,6,9,7,39,12.31,"Rabish","Mathew",39.06,32.208,"Medium","High"
"130","BCGA-H2-637A",130,23,33,18,297,46.81,"Sunil","Philip",142.74,116.89,"High","High"
"155","BCGA-Q2-673A",155,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"136","BCGA-Q2-653A",136,5,1,3,49,2.9,"Aniketh","Philip",10.01,8.441,"Medium","Medium"
"62","TCGA-A2-A0EX",62,7,15,3,187,21.16,"Sunil","Mathew",60.17,48.645,"High","High"
"139","BCGA-Q2-656A",139,2,3,0,47,4.34,"Vishal","Sam",12.37,9.981,"Medium","Low"
"64","TCGA-A8-A08Z",64,4,5,1,58,7.05,"Bikas","Donald",21.32,17.367,"Medium","Medium"
"96","TCGA-AN-A0FK",96,7,12,3,163,17.38,"Tanmoy","Mike",49.88,40.413,"High","High"
"82","TCGA-A2-A0EY",82,5,15,2,167,20.47,"Vijay","Sam",57.58,46.422,"High","High"
"32","TCGA-A2-A0EQ",32,1,1,0,20,1.55,"Vijay","Philip",4.48,3.625,"Low","Low"
"108","BCGA-G2-623A",108,3,6,1,53,8,"Bikas","Mike",23.68,19.217,"Medium","Medium"
"75","TCGA-BH-A18U",75,2,3,0,24,3.88,"Vishal","Samson",11.91,9.682,"Low","Medium"
"101","TCGA-BH-A0C7",101,10,13,6,176,19.46,"Raghu","Samson",57.55,46.936,"High","High"
"151","BCGA-Q2-669A",151,11,14,2,153,19.39,"Prakash","Donald",58.89,47.95,"High","High"
"18","TCGA-AR-A1AQ",18,1,1,0,23,1.61,"Prakash","John",4.54,3.664,"Low","Low"
"59","TCGA-BH-A0BV",59,2,2,0,23,2.76,"Mohan","Samson",8.62,7.029,"Low","Low"
"14","TCGA-AO-A12F",14,3,5,1,75,7.34,"Prakash","Philip",20.85,16.863,"Medium","Medium"
"147","BCGA-Q2-665A",147,11,13,3,159,18.6,"Prakash","Donald",56.31,45.901,"High","High"
"74","TCGA-A2-A0SW",74,4,14,1,167,19.13,"Suresh","Donald",52.93,42.544,"High","High"
"65","TCGA-AN-A04A",65,8,15,4,203,21.72,"Prakash","John",61.87,50.091,"High","High"
"99","TCGA-AR-A1AV",99,3,2,0,66,3.67,"Suresh","John",10.29,8.313,"Medium","Low"
"157","BCGA-Q2-675A",157,28,33,24,317,48.6,"Sunil","Philip",150.61,123.853,"High","High"
"118","BCGA-X2-633A",118,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"79","TCGA-A7-A0CJ",79,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"145","BCGA-Q2-663A",145,2,3,0,24,3.88,"Vishal","Samson",11.91,9.682,"Low","Medium"
