"","defect_id","defect_description","numActive","numDaysActive","numReopened","LOC","Total.num.days","Developer","Tester","Num.eff.dev.hours","Num.eff.testing.hours","Severity","Priority"
"99","TCGA-AR-A1AV",99,3,2,0,66,3.67,"Suresh","John",10.29,8.313,"Medium","Low"
"80","TCGA-A2-A0T3",80,4,15,0,141,19.52,"Anil","Philip",55.11,44.333,"High","High"
"131","BCGA-F2-637A",131,6,9,7,39,12.31,"Rabish","Mathew",39.06,32.208,"Medium","High"
"46","TCGA-BH-A0HK",46,2,1,0,22,1.64,"Sunil","Samson",5.33,4.376,"Low","Low"
"103","TCGA-C8-A12U",103,7,5,4,59,7.79,"Vishal","John",25.48,21.094,"Medium","Medium"
"92","TCGA-A8-A09I",92,3,2,1,32,3.18,"Rabish","Mathew",10.18,8.384,"Low","Medium"
"127","BCGA-P2-637A",127,2,3,0,24,3.88,"Vishal","Samson",11.91,9.682,"Low","Medium"
"62","TCGA-A2-A0EX",62,7,15,3,187,21.16,"Sunil","Mathew",60.17,48.645,"High","High"
"132","BCGA-D2-637A",132,1,6,3,74,8.7,"Rabish","Donald",23.62,19.066,"Medium","Medium"
"47","TCGA-A7-A0CD",47,4,4,2,57,6.12,"Suresh","Philip",18.6,15.227,"Medium","Medium"
"27","TCGA-A2-A0T1",27,3,8,2,95,11.23,"Rabish","Philip",31.63,25.556,"Medium","Medium"
"15","TCGA-AN-A0AL",15,4,7,2,89,10.06,"Sunil","Samson",29.05,23.563,"Medium","Medium"
"149","BCGA-Q2-667A",149,3,4,0,33,5.21,"Suresh","Sam",16.17,13.164,"Low","Medium"
"146","BCGA-Q2-664A",146,5,6,3,57,8.56,"Aniketh","Samson",26.52,21.745,"Medium","Medium"
"6","TCGA-A7-A0CE",6,1,1,0,43,2.01,"Prakash","Mike",4.94,3.924,"Medium","Low"
"41","TCGA-C8-A130",41,1,1,0,18,1.51,"Ajay","Sam",4.44,3.599,"Low","Low"
"81","TCGA-A2-A0YG",81,6,10,1,129,14.07,"Mohan","Samson",40.71,32.94,"High","High"
"43","TCGA-C8-A138",43,8,16,3,201,22.59,"Mohan","Mathew",64.53,52.192,"High","High"
"144","BCGA-Q2-661A",144,6,9,3,90,12.57,"Vijay","Mike",37.8,30.819,"Medium","High"
"101","TCGA-BH-A0C7",101,10,13,6,176,19.46,"Raghu","Samson",57.55,46.936,"High","High"
