"","defect_id","defect_description","numActive","numDaysActive","numReopened","LOC","Total.num.days","Developer","Tester","Num.eff.dev.hours","Num.eff.testing.hours","Severity","Priority"
"65","TCGA-AN-A04A",65,8,15,4,203,21.72,"Prakash","John",61.87,50.091,"High","High"
"156","BCGA-Q2-674A",156,5,8,1,167,12.58,"Suresh","Samson",34.12,27.429,"High","Medium"
"108","BCGA-G2-623A",108,3,6,1,53,8,"Bikas","Mike",23.68,19.217,"Medium","Medium"
"64","TCGA-A8-A08Z",64,4,5,1,58,7.05,"Bikas","Donald",21.32,17.367,"Medium","Medium"
"40","TCGA-C8-A12Z",40,5,2,0,76,3.97,"Akash","Samson",12.11,9.893,"Medium","Medium"
"59","TCGA-BH-A0BV",59,2,2,0,23,2.76,"Mohan","Samson",8.62,7.029,"Low","Low"
"71","TCGA-BH-A0E9",71,2,3,0,47,4.34,"Vishal","Sam",12.37,9.981,"Medium","Low"
"62","TCGA-A2-A0EX",62,7,15,3,187,21.16,"Sunil","Mathew",60.17,48.645,"High","High"
"31","TCGA-AO-A0JE",31,2,2,0,13,2.56,"Aniketh","Donald",8.42,6.899,"Low","Medium"
"103","TCGA-C8-A12U",103,7,5,4,59,7.79,"Vishal","John",25.48,21.094,"Medium","Medium"
"152","BCGA-Q2-670A",152,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"134","BCGA-Q2-651A",134,2,7,3,77,9.91,"Aniketh","Samson",27.76,22.47,"Medium","Medium"
"128","BCGA-Q2-637A",128,5,15,2,167,20.47,"Vijay","Sam",57.58,46.422,"High","High"
"148","BCGA-Q2-666A",148,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"144","BCGA-Q2-661A",144,6,9,3,90,12.57,"Vijay","Mike",37.8,30.819,"Medium","High"
"1","TCGA-A2-A0T2",1,1,1,0,20,1.55,"Bikas","Sam",4.48,3.625,"Low","Low"
"44","TCGA-AR-A0TR",44,6,9,3,90,12.57,"Vijay","Mike",37.8,30.819,"Medium","High"
"158","BCGA-Q2-676A",158,4,7,3,77,10.01,"Aniketh","Samson",29.38,23.92,"Medium","Medium"
