"","defect_id","defect_description","numActive","numDaysActive","numReopened","LOC","Total.num.days","Developer","Tester","Num.eff.dev.hours","Num.eff.testing.hours","Severity","Priority"
"122","BCGA-G2-637A",122,2,4,0,52,5.54,"Sujay","John",15.74,12.686,"Medium","Medium"
"75","TCGA-BH-A18U",75,2,3,0,24,3.88,"Vishal","Samson",11.91,9.682,"Low","Medium"
"152","BCGA-Q2-670A",152,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"27","TCGA-A2-A0T1",27,3,8,2,95,11.23,"Rabish","Philip",31.63,25.556,"Medium","Medium"
"49","TCGA-A2-A0YI",49,2,2,0,31,2.92,"Vishal","Samson",8.78,7.133,"Low","Low"
"64","TCGA-A8-A08Z",64,4,5,1,58,7.05,"Bikas","Donald",21.32,17.367,"Medium","Medium"
"30","TCGA-AO-A12D",30,2,1,1,11,1.61,"Vinay","Mike",5.68,4.746,"Low","Low"
"16","TCGA-AN-A0FL",16,3,7,2,95,10.13,"Suresh","Mathew",28.36,22.916,"Medium","Medium"
"132","BCGA-D2-637A",132,1,6,3,74,8.7,"Rabish","Donald",23.62,19.066,"Medium","Medium"
"73","TCGA-AO-A03O",73,5,1,3,49,2.9,"Aniketh","Philip",10.01,8.441,"Medium","Medium"
"40","TCGA-C8-A12Z",40,5,2,0,76,3.97,"Akash","Samson",12.11,9.893,"Medium","Medium"
"5","TCGA-BH-A0E0",5,1,1,0,13,1.41,"Bikas","Mathew",4.34,3.534,"Low","Low"
"24","TCGA-E2-A158",24,3,2,0,41,3.17,"Prakash","Samson",9.79,7.988,"Medium","Low"
"33","TCGA-A8-A076",33,4,8,3,106,11.69,"Sujay","Sam",33.23,26.937,"Medium","Medium"
"105","TCGA-E2-A15A",105,4,5,1,67,7.23,"Aniketh","Samson",21.5,17.484,"Medium","Medium"
"28","TCGA-BH-A0EE",28,2,2,0,27,2.84,"Tanmoy","Samson",8.7,7.081,"Low","Low"
"70","TCGA-BH-A0DG",70,7,15,2,212,21.47,"Tanmoy","Samson",60.1,48.457,"High","High"
"86","TCGA-AO-A0JM",86,2,4,0,43,5.36,"Bikas","Mathew",15.56,12.569,"Medium","Medium"
"154","BCGA-Q2-672A",154,4,2,2,59,3.96,"Aniketh","Philip",12.1,9.973,"Medium","Medium"
"134","BCGA-Q2-651A",134,2,7,3,77,9.91,"Aniketh","Samson",27.76,22.47,"Medium","Medium"
"62","TCGA-A2-A0EX",62,7,15,3,187,21.16,"Sunil","Mathew",60.17,48.645,"High","High"
"69","TCGA-BH-A0C1",69,4,9,2,105,12.58,"Raghu","Philip",35.91,29.051,"Medium","Medium"
"159","BCGA-Q2-677A",159,14,17,8,207,25.06,"Raghu","Samson",75.63,61.825,"High","High"
"79","TCGA-A7-A0CJ",79,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
