"","defect_id","defect_description","numActive","numDaysActive","numReopened","LOC","Total.num.days","Developer","Tester","Num.eff.dev.hours","Num.eff.testing.hours","Severity","Priority"
"27","TCGA-A2-A0T1",27,3,8,2,95,11.23,"Rabish","Philip",31.63,25.556,"Medium","Medium"
"4","TCGA-BH-A18Q",4,2,1,0,10,1.4,"Suresh","Samson",5.09,4.22,"Low","Low"
"130","BCGA-H2-637A",130,23,33,18,297,46.81,"Sunil","Philip",142.74,116.89,"High","High"
"26","TCGA-BH-A18R",26,2,3,0,35,4.1,"Shalini","Mike",12.13,9.825,"Low","Medium"
"128","BCGA-Q2-637A",128,5,15,2,167,20.47,"Vijay","Sam",57.58,46.422,"High","High"
"86","TCGA-AO-A0JM",86,2,4,0,43,5.36,"Bikas","Mathew",15.56,12.569,"Medium","Medium"
"53","TCGA-A2-A0T6",53,8,16,3,197,22.51,"Raghu","Mike",64.45,52.14,"High","High"
"119","BCGA-G2-634A",119,8,13,3,159,18.45,"Sunil","Mathew",53.88,43.726,"High","High"
"88","TCGA-A8-A06N",88,3,10,2,111,13.75,"Vinay","John",38.49,31.044,"Medium","Medium"
"50","TCGA-A2-A0YL",50,7,2,1,7,2.88,"Vinay","Mathew",12.92,10.959,"Low","Medium"
"108","BCGA-G2-623A",108,3,6,1,53,8,"Bikas","Mike",23.68,19.217,"Medium","Medium"
"45","TCGA-BH-A18N",45,2,2,0,37,3.04,"Sujay","Donald",8.9,7.211,"Low","Low"
"109","BCGA-G2-624A",109,7,12,2,132,16.57,"Mohan","Sam",48.69,39.497,"High","High"
"155","BCGA-Q2-673A",155,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"73","TCGA-AO-A03O",73,5,1,3,49,2.9,"Aniketh","Philip",10.01,8.441,"Medium","Medium"
"7","TCGA-D8-A142",7,3,4,2,63,6.19,"Sunil","Donald",17.91,14.58,"Medium","Medium"
"139","BCGA-Q2-656A",139,2,3,0,47,4.34,"Vishal","Sam",12.37,9.981,"Medium","Low"
"148","BCGA-Q2-666A",148,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"151","BCGA-Q2-669A",151,11,14,2,153,19.39,"Prakash","Donald",58.89,47.95,"High","High"
"107","BCGA-J2-616A",107,6,8,2,89,11.26,"Prakash","John",33.94,27.653,"Medium","Medium"
"104","TCGA-C8-A12W",104,2,3,0,30,4,"Vinay","Philip",12.03,9.76,"Low","Medium"
"38","TCGA-C8-A12Q",38,8,13,3,159,18.45,"Sunil","Mathew",53.88,43.726,"High","High"
"146","BCGA-Q2-664A",146,5,6,3,57,8.56,"Aniketh","Samson",26.52,21.745,"Medium","Medium"
"103","TCGA-C8-A12U",103,7,5,4,59,7.79,"Vishal","John",25.48,21.094,"Medium","Medium"
"127","BCGA-P2-637A",127,2,3,0,24,3.88,"Vishal","Samson",11.91,9.682,"Low","Medium"
"92","TCGA-A8-A09I",92,3,2,1,32,3.18,"Rabish","Mathew",10.18,8.384,"Low","Medium"
"68","TCGA-AR-A1AW",68,7,10,3,118,14.28,"Haresh","John",42.44,34.548,"High","High"
"136","BCGA-Q2-653A",136,5,1,3,49,2.9,"Aniketh","Philip",10.01,8.441,"Medium","Medium"
"30","TCGA-AO-A12D",30,2,1,1,11,1.61,"Vinay","Mike",5.68,4.746,"Low","Low"
"25","TCGA-E2-A159",25,3,4,1,68,6.1,"Akash","Mathew",17.44,14.132,"Medium","Medium"
"101","TCGA-BH-A0C7",101,10,13,6,176,19.46,"Raghu","Samson",57.55,46.936,"High","High"
"102","TCGA-BH-A0DD",102,6,11,3,127,15.51,"Tanmoy","Mathew",45.08,36.58,"High","High"
"37","TCGA-C8-A12P",37,3,3,0,31,4.07,"Prakash","Philip",12.86,10.498,"Low","Medium"
"111","BCGA-G2-626A",111,3,2,0,71,3.77,"Akash","Samson",10.39,8.378,"Medium","Low"
"21","TCGA-C8-A131",21,4,5,2,80,7.68,"Akash","Mathew",22.33,18.166,"Medium","Medium"
"132","BCGA-D2-637A",132,1,6,3,74,8.7,"Rabish","Donald",23.62,19.066,"Medium","Medium"
"2","TCGA-A2-A0CM",2,2,2,0,34,2.98,"Prakash","John",8.84,7.172,"Low","Low"
"112","BCGA-G2-627A",112,11,15,6,177,21.73,"Sunil","Philip",64.92,52.954,"High","High"
"69","TCGA-BH-A0C1",69,4,9,2,105,12.58,"Raghu","Philip",35.91,29.051,"Medium","Medium"
"29","TCGA-A2-A0D1",29,2,4,1,55,5.79,"Vishal","Mathew",16.37,13.238,"Medium","Medium"
"98","TCGA-AR-A0TV",98,5,11,3,148,15.88,"Prakash","Sam",44.69,36.128,"High","Medium"
"113","BCGA-H2-628A",113,2,3,0,47,4.34,"Vishal","Sam",12.37,9.981,"Medium","Low"
"115","BCGA-A2-630A",115,8,10,2,113,14.04,"Vinay","Mathew",42.58,34.695,"Medium","High"
"1","TCGA-A2-A0T2",1,1,1,0,20,1.55,"Bikas","Sam",4.48,3.625,"Low","Low"
"64","TCGA-A8-A08Z",64,4,5,1,58,7.05,"Bikas","Donald",21.32,17.367,"Medium","Medium"
"83","TCGA-E2-A10A",83,2,4,0,52,5.54,"Sujay","John",15.74,12.686,"Medium","Medium"
"35","TCGA-AR-A0TX",35,1,1,0,24,1.63,"Suresh","Mathew",4.56,3.677,"Low","Low"
"133","BCGA-Q2-650A",133,13,15,8,193,22.53,"Raghu","Samson",68,55.638,"High","High"
"11","TCGA-A2-A0D2",11,1,2,2.1,18,3.009,"Sunil","John",8.907,7.3163,"Low","Low"
"24","TCGA-E2-A158",24,3,2,0,41,3.17,"Prakash","Samson",9.79,7.988,"Medium","Low"
