"","defect_id","defect_description","numActive","numDaysActive","numReopened","LOC","Total.num.days","Developer","Tester","Num.eff.dev.hours","Num.eff.testing.hours","Severity","Priority"
"24","TCGA-E2-A158",24,3,2,0,41,3.17,"Prakash","Samson",9.79,7.988,"Medium","Low"
"155","BCGA-Q2-673A",155,7,5,1,85,7.74,"Ajay","John",24.29,19.893,"Medium","Medium"
"47","TCGA-A7-A0CD",47,4,4,2,57,6.12,"Suresh","Philip",18.6,15.227,"Medium","Medium"
"4","TCGA-BH-A18Q",4,2,1,0,10,1.4,"Suresh","Samson",5.09,4.22,"Low","Low"
"111","BCGA-G2-626A",111,3,2,0,71,3.77,"Akash","Samson",10.39,8.378,"Medium","Low"
"83","TCGA-E2-A10A",83,2,4,0,52,5.54,"Sujay","John",15.74,12.686,"Medium","Medium"
"157","BCGA-Q2-675A",157,28,33,24,317,48.6,"Sunil","Philip",150.61,123.853,"High","High"
"98","TCGA-AR-A0TV",98,5,11,3,148,15.88,"Prakash","Sam",44.69,36.128,"High","Medium"
"107","BCGA-J2-616A",107,6,8,2,89,11.26,"Prakash","John",33.94,27.653,"Medium","Medium"
"42","TCGA-C8-A135",42,5,7,1,83,9.8,"Anil","Samson",29.17,23.697,"Medium","Medium"
"2","TCGA-A2-A0CM",2,2,2,0,34,2.98,"Prakash","John",8.84,7.172,"Low","Low"
"127","BCGA-P2-637A",127,2,3,0,24,3.88,"Vishal","Samson",11.91,9.682,"Low","Medium"
"130","BCGA-H2-637A",130,23,33,18,297,46.81,"Sunil","Philip",142.74,116.89,"High","High"
"131","BCGA-F2-637A",131,6,9,7,39,12.31,"Rabish","Mathew",39.06,32.208,"Medium","High"
"22","TCGA-C8-A134",22,2,2,0,33,2.96,"Shalini","Philip",8.82,7.159,"Low","Low"
"135","BCGA-Q2-652A",135,3,6,1,53,8,"Bikas","Mike",23.68,19.217,"Medium","Medium"
"94","TCGA-AN-A0AM",94,4,5,0,59,6.88,"Haresh","Samson",20.77,16.867,"Medium","Medium"
"46","TCGA-BH-A0HK",46,2,1,0,22,1.64,"Sunil","Samson",5.33,4.376,"Low","Low"
"74","TCGA-A2-A0SW",74,4,14,1,167,19.13,"Suresh","Donald",52.93,42.544,"High","High"
"85","TCGA-AO-A0JC",85,4,8,1,157,12.33,"Suresh","Samson",33.11,26.574,"High","Medium"
"35","TCGA-AR-A0TX",35,1,1,0,24,1.63,"Suresh","Mathew",4.56,3.677,"Low","Low"
"87","TCGA-AO-A12B",87,6,11,8,155,17.02,"Vishal","Mike",48.49,39.509,"High","High"
"64","TCGA-A8-A08Z",64,4,5,1,58,7.05,"Bikas","Donald",21.32,17.367,"Medium","Medium"
"23","TCGA-E2-A150",23,4,3,1,38,4.45,"Rabish","Sam",14.38,11.827,"Medium","Medium"
"120","BCGA-G2-635A",120,6,9,3,90,12.57,"Vijay","Mike",37.8,30.819,"Medium","High"
"62","TCGA-A2-A0EX",62,7,15,3,187,21.16,"Sunil","Mathew",60.17,48.645,"High","High"
"117","BCGA-V2-632A",117,2,2,0,29,2.88,"Suresh","Sam",8.74,7.107,"Low","Low"
"63","TCGA-AO-A0JJ",63,4,3,1,38,4.45,"Suresh","Mike",14.38,11.827,"Medium","Medium"
"38","TCGA-C8-A12Q",38,8,13,3,159,18.45,"Sunil","Mathew",53.88,43.726,"High","High"
"149","BCGA-Q2-667A",149,3,4,0,33,5.21,"Suresh","Sam",16.17,13.164,"Low","Medium"
"137","BCGA-Q2-654A",137,6,9,3,90,12.57,"Vijay","Mike",37.8,30.819,"Medium","High"
"133","BCGA-Q2-650A",133,13,15,8,193,22.53,"Raghu","Samson",68,55.638,"High","High"
"58","TCGA-AO-A0J9",58,6,4,1,41,5.71,"Anil","Mathew",19.33,15.956,"Medium","Medium"
"56","TCGA-A2-A0EV",56,5,8,2,108,11.59,"Aniketh","Mathew",33.51,27.175,"Medium","Medium"
"52","TCGA-BH-A0E1",52,5,8,2,96,11.35,"Haresh","Donald",33.27,27.019,"Medium","Medium"
"36","TCGA-C8-A12L",36,4,5,1,57,7.03,"Bikas","Mike",21.3,17.354,"Medium","Medium"
"10","TCGA-A2-A0YM",10,3,5,2,69,7.41,"Prakash","Sam",21.3,17.298,"Medium","Medium"
"108","BCGA-G2-623A",108,3,6,1,53,8,"Bikas","Mike",23.68,19.217,"Medium","Medium"
"69","TCGA-BH-A0C1",69,4,9,2,105,12.58,"Raghu","Philip",35.91,29.051,"Medium","Medium"
"61","TCGA-AO-A126",61,5,8,1,100,11.24,"Sujay","Mike",32.78,26.558,"Medium","Medium"
"104","TCGA-C8-A12W",104,2,3,0,30,4,"Vinay","Philip",12.03,9.76,"Low","Medium"
"125","BCGA-X2-637A",125,7,15,3,187,21.16,"Sunil","Mathew",60.17,48.645,"High","High"
"81","TCGA-A2-A0YG",81,6,10,1,129,14.07,"Mohan","Samson",40.71,32.94,"High","High"
"84","TCGA-BH-A0C0",84,1,10,0,94,12.93,"Sunil","Mike",35.39,28.347,"Medium","Medium"
"26","TCGA-BH-A18R",26,2,3,0,35,4.1,"Shalini","Mike",12.13,9.825,"Low","Medium"
